* Measurement data measured by REW V5.30.8
* Source: Trace Arithmetic result A + B
* Format: Trace Arithmetic result A + B
* Dated: Feb 10, 2024 1:40:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A plus B A = Port Near Field B = Woofer Near Field
* Measurement: Woofer Port Near Field
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.145 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.144928	84.9824	178.1583
20.290907	85.0848	177.642
20.437943	85.2308	176.8569
20.586044	85.3973	176.0332
20.73522	85.5708	175.1907
20.885475	85.7458	174.3096
21.036821	85.9224	173.4875
21.189262	86.099	172.6826
21.342808	86.277	171.8493
21.497467	86.4586	171.0741
21.653246	86.6453	170.3045
21.810154	86.837	169.5327
21.968201	87.033	168.7002
22.12739	87.2357	167.889
22.287735	87.4425	167.0438
22.449242	87.6505	166.1088
22.611917	87.8613	165.1763
22.775772	88.0712	164.2001
22.940815	88.2752	163.1372
23.107054	88.477	162.0942
23.274498	88.6739	161.0342
23.443153	88.8639	159.9215
23.613033	89.0519	158.8662
23.784142	89.2379	157.8276
23.956491	89.4199	156.7606
24.130091	89.6069	155.7635
24.304947	89.797	154.7802
24.481071	89.99	153.7496
24.65847	90.1891	152.7606
24.837156	90.3923	151.7525
25.017136	90.5986	150.7168
25.198421	90.8026	149.6
25.38102	91.0058	148.5121
25.564941	91.2071	147.4114
25.750195	91.4011	146.2606
25.93679	91.5955	145.1806
26.124741	91.7908	144.131
26.314051	91.9868	143.0592
26.504732	92.1933	142.0658
26.696796	92.4118	141.0748
26.890253	92.6408	139.9968
27.085112	92.8854	138.9045
27.281382	93.14	137.7031
27.479073	93.394	136.3084
27.678198	93.6466	134.8188
27.878765	93.8853	133.1861
28.080786	94.0983	131.3782
28.284271	94.2851	129.5595
28.489231	94.4399	127.7308
28.695675	94.5618	125.9653
28.903616	94.6518	124.2692
29.113064	94.7256	122.8234
29.324028	94.7917	121.6062
29.536524	94.8617	120.5682
29.750557	94.9548	119.8004
29.966141	95.0798	119.1835
30.183289	95.2408	118.5641
30.40201	95.441	117.9731
30.622314	95.6712	117.2664
30.844217	95.9162	116.33
31.067726	96.1705	115.2723
31.292856	96.4189	114.0482
31.519617	96.6519	112.6338
31.74802	96.8704	111.2062
31.978081	97.0749	109.753
32.209808	97.2629	108.2451
32.443211	97.4494	106.8321
32.67831	97.635	105.4481
32.915108	97.8238	104.0772
33.153625	98.0138	102.6258
33.393871	98.2116	101.2012
33.635857	98.4085	99.7205
33.879597	98.5975	98.1124
34.125103	98.7814	96.5221
34.372387	98.9544	94.9035
34.621464	99.1124	93.216
34.872345	99.2645	91.6215
35.125042	99.4097	90.0712
35.379574	99.5467	88.5048
35.635948	99.689	87.0598
35.89418	99.8343	85.657
36.154285	99.9793	84.209
36.416275	100.1337	82.8389
36.680161	100.2932	81.4602
36.945961	100.4512	79.9872
37.213688	100.6159	78.5536
37.483353	100.7805	77.0822
37.754974	100.9444	75.5701
38.028561	101.1014	73.9435
38.304131	101.2592	72.3527
38.581699	101.4132	70.7303
38.861279	101.5562	69.0085
39.142883	101.6983	67.3447
39.426529	101.8354	65.671
39.712231	101.9624	63.9153
40	102.0886	62.2298
40.289856	102.21	60.5384
40.581814	102.32	58.7639
40.875885	102.4276	57.0644
41.172089	102.5281	55.3723
41.47044	102.6131	53.6233
41.77095	102.6958	51.9901
42.073643	102.7726	50.4091
42.378525	102.8416	48.808
42.685616	102.9145	47.3422
42.994934	102.9905	45.9205
43.306492	103.0667	44.5257
43.620308	103.1377	43.0607
43.936401	103.2118	41.678
44.25478	103.2812	40.2977
44.57547	103.3372	38.846
44.898483	103.3937	37.4984
45.223835	103.4453	36.1802
45.551544	103.4903	34.8073
45.88163	103.543	33.5366
46.214108	103.5999	32.2695
46.548996	103.6529	30.9068
46.886307	103.7148	29.6076
47.226067	103.7779	28.2873
47.568283	103.8319	26.8673
47.912983	103.8911	25.5283
48.260181	103.9495	24.1942
48.609894	103.9985	22.7827
48.962143	104.055	21.4662
49.31694	104.1106	20.1552
49.674313	104.1654	18.8458
50.034271	104.2114	17.4476
50.396843	104.2633	16.1375
50.762039	104.3134	14.8299
51.129883	104.3534	13.4389
51.500389	104.4006	12.1455
51.873581	104.4469	10.8628
52.249481	104.4849	9.5022
52.628101	104.5324	8.2439
53.009464	104.5801	6.9964
53.393593	104.6211	5.6639
53.780506	104.6698	4.4218
54.170223	104.7198	3.174
54.562763	104.7588	1.827
54.958145	104.8029	0.5703
55.356396	104.8441	-0.678600000000001
55.75753	104.8826	-1.9132
56.161572	104.9116	-3.2299
56.568542	104.9502	-4.4549
56.978462	104.9879	-5.6954
57.39135	105.0119	-7.0489
57.807232	105.0379	-8.3115
58.226128	105.059	-9.5485
58.648056	105.065	-10.8322
59.073048	105.0843	-11.9719
59.501114	105.1067	-13.0854
59.932281	105.1217	-14.2973
60.366577	105.1423	-15.4232
60.80402	105.1531	-16.5312
61.244629	105.1441	-17.6705
61.688435	105.1451	-18.6127
62.135452	105.1532	-19.4592
62.585712	105.1672	-20.3543
63.039234	105.2076	-21.1642
63.49604	105.2592	-22.0251
63.956161	105.3128	-22.9403
64.419617	105.3528	-23.9879
64.886421	105.4028	-24.9511
65.356621	105.4519	-25.9215
65.830215	105.4899	-27.0029
66.307251	105.5392	-28.0036
66.787743	105.5897	-29.0228
67.271713	105.6267	-30.1574
67.759193	105.6744	-31.2071
68.250206	105.7213	-32.2722
68.744774	105.7523	-33.4572
69.242928	105.7933	-34.5695
69.74469	105.8277	-35.7101
70.250084	105.8397	-36.9654
70.759148	105.8532	-38.0972
71.271896	105.8569	-39.1538
71.788361	105.8439	-40.1972
72.308571	105.8518	-41.0313
72.83255	105.874	-41.8064
73.360321	105.9123	-42.5959
73.891922	105.9473	-43.5555
74.427376	105.9999	-44.5025
74.966705	106.0507	-45.5264
75.509949	106.0807	-46.712
76.057121	106.1177	-47.8602
76.608261	106.143	-49.0863
77.163399	106.129	-50.4748
77.722557	106.0944	-51.7312
78.285767	106.0251	-52.7923
78.853058	105.9261	-53.6067
79.424461	105.861	-53.9502
80	105.8452	-54.0722
80.579712	105.8652	-54.3007
81.163628	105.9375	-54.5982
81.75177	106.0241	-55.1027
82.344177	106.0941	-55.8711
82.94088	106.1729	-56.6433
83.541901	106.2449	-57.4762
84.147285	106.3102	-58.3448
84.75705	106.3522	-59.3394
85.371231	106.4077	-60.2617
85.989868	106.4575	-61.2151
86.612984	106.4795	-62.2924
87.240616	106.5065	-63.2664
87.872803	106.5207	-64.1825
88.50956	106.5097	-65.0866
89.15094	106.5241	-65.7782
89.796967	106.5548	-66.4203
90.44767	106.5818	-67.1995
91.103088	106.6327	-67.9713
91.76326	106.6799	-68.8282
92.428215	106.6959	-69.8238
93.097992	106.7203	-70.7041
93.772614	106.7359	-71.5119
94.452133	106.7349	-72.3303
95.136566	106.7638	-73.0129
95.825966	106.804	-73.7277
96.520363	106.8503	-74.525
97.219788	106.8723	-75.5258
97.924286	106.8999	-76.5372
98.633881	106.8968	-77.57
99.348625	106.8408	-78.5454
100.068542	106.7968	-79.1385
100.793686	106.7741	-79.4753
101.524078	106.7681	-79.8194
102.259766	106.8146	-80.1419
103.000778	106.8795	-80.5973
103.747162	106.9275	-81.2804
104.498962	106.9955	-81.997
105.256203	107.0527	-82.8213
106.018929	107.0717	-83.8116
106.787186	107.0902	-84.7177
107.561012	107.0889	-85.5217
108.340446	107.0589	-86.2398
109.125526	107.0629	-86.723
109.91629	107.0851	-87.1484
110.712791	107.1245	-87.5921
111.51506	107.1505	-88.1737
112.323143	107.2061	-88.735
113.137085	107.265	-89.3644
113.956924	107.3	-90.1457
114.7827	107.3531	-90.9091
115.614464	107.3954	-91.716
116.452255	107.4004	-92.5977
117.296112	107.4199	-93.3352
118.146095	107.4407	-93.9848
119.002228	107.4447	-94.6556
119.864563	107.4846	-95.2523
120.733154	107.5338	-95.9087
121.60804	107.5588	-96.7272
122.489258	107.6033	-97.5462
123.376869	107.6358	-98.3992
124.270905	107.6318	-99.3019
125.171425	107.6477	-100.0696
126.078468	107.6666	-100.7782
126.992081	107.6949	-101.4661
127.912323	107.7059	-102.2693
128.839233	107.7453	-103.1243
129.772842	107.7729	-104.1228
130.713242	107.7469	-105.2445
131.660431	107.7217	-106.2232
132.614502	107.6817	-107.0707
133.575485	107.6097	-107.875
134.543427	107.5588	-108.5029
135.518387	107.5111	-108.9621
136.500412	107.4531	-109.3348
137.489548	107.4446	-109.6379
138.485855	107.4464	-110.0123
139.48938	107.4214	-110.4438
