* Measurement data measured by REW V5.31.3
* Source: Trace Arithmetic result A + B
* Format: Trace Arithmetic result A + B
* Dated: 13:08:36 14/06/2025
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: A plus B
* Smoothing: 1/12 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.885 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.885475	72.7385	165.7
21.036821	72.8346	165.3218
21.189262	72.9747	164.8066
21.342808	73.1437	164.1999
21.497467	73.3318	163.6528
21.653246	73.5309	163.1821
21.810154	73.736	162.8154
21.968201	73.942	162.5152
22.12739	74.1502	162.338
22.287735	74.3604	162.2076
22.449242	74.5714	162.0384
22.611917	74.7876	161.8626
22.775772	75.0078	161.6017
22.940815	75.2308	161.191
23.107054	75.4601	160.7047
23.274498	75.6945	160.1156
23.443153	75.9295	159.4116
23.613033	76.1687	158.713
23.784142	76.4081	158.0202
23.956491	76.6471	157.3259
24.130091	76.8865	156.7356
24.304947	77.1279	156.2137
24.481071	77.3689	155.7064
24.65847	77.6164	155.2736
24.837156	77.8698	154.8401
25.017136	78.1323	154.3715
25.198421	78.4023	153.7975
25.38102	78.6828	153.1921
25.564941	78.9714	152.5145
25.750195	79.2634	151.7368
25.93679	79.558	150.9743
26.124741	79.8526	150.2112
26.314051	80.1426	149.4228
26.504732	80.4313	148.7075
26.696796	80.718	148.0105
26.890253	81.005	147.257
27.085112	81.2997	146.4982
27.281382	81.6055	145.6403
27.479073	81.9215	144.5933
27.678198	82.2523	143.424
27.878765	82.5942	142.0807
28.080786	82.9382	140.5351
28.284271	83.281	138.9257
28.489231	83.6119	137.2613
28.695675	83.9199	135.6031
28.903616	84.1969	133.9587
29.113064	84.4419	132.4747
29.324028	84.6529	131.1367
29.536524	84.8309	129.9141
29.750557	84.99	128.9152
29.966141	85.1361	128.0845
30.183289	85.2811	127.3527
30.40201	85.4413	126.7959
30.622314	85.6246	126.3275
30.844217	85.8326	125.8548
31.067726	86.0708	125.4417
31.292856	86.3341	124.9972
31.519617	86.6141	124.4351
31.74802	86.9075	123.8371
31.978081	87.2068	123.1327
32.209808	87.5048	122.2575
32.443211	87.8023	121.3175
32.67831	88.0978	120.2611
32.915108	88.3914	119.0956
33.153625	88.6804	117.7745
33.393871	88.973	116.4214
33.635857	89.2656	114.993
33.879597	89.5586	113.4439
34.125103	89.8553	111.9004
34.372387	90.1531	110.3188
34.621464	90.4461	108.6541
34.872345	90.7399	107.0367
35.125042	91.0298	105.422
35.379574	91.3088	103.7621
35.635948	91.5816	102.183
35.89418	91.8437	100.6288
36.154285	92.0937	99.0372
36.416275	92.3368	97.5219
36.680161	92.5708	96.0146
36.945961	92.7978	94.4443
37.213688	93.025	92.9258
37.483353	93.2532	91.3935
37.754974	93.4855	89.8457
38.028561	93.7215	88.2202
38.304131	93.9699	86.6437
38.581699	94.2284	85.0529
38.861279	94.4934	83.3792
39.142883	94.7699	81.7419
39.426529	95.0514	80.0651
39.712231	95.3294	78.2707
40	95.608	76.4779
40.289856	95.8778	74.6164
40.581814	96.1328	72.6206
40.875885	96.3796	70.63
41.172089	96.6135	68.5907
41.47044	96.8335	66.4483
41.77095	97.0474	64.3482
42.073643	97.2554	62.2297
42.378525	97.4544	60.0253
42.685616	97.6515	57.8693
42.994934	97.8427	55.6905
43.306492	98.028	53.4872
43.620308	98.199	51.1915
43.936401	98.3633	48.9498
44.25478	98.5157	46.701
44.57547	98.6517	44.3829
44.898483	98.7792	42.1464
45.223835	98.8949	39.927
45.551544	98.9939	37.6577
45.88163	99.0875	35.487
46.214108	99.1714	33.346
46.548996	99.2414	31.1634
46.886307	99.3062	29.0886
47.226067	99.3622	27.0504
47.568283	99.4042	24.9767
47.912983	99.4423	23.0201
48.260181	99.4734	21.1099
48.609894	99.4924	19.1731
48.962143	99.5096	17.3622
49.31694	99.522	15.5996
49.674313	99.5286	13.8804
50.034271	99.5246	12.1198
50.396843	99.5221	10.466
50.762039	99.5178	8.8363
51.129883	99.5058	7.1479
51.500389	99.4996	5.5559
51.873581	99.4955	3.9798
52.249481	99.4865	2.3379
52.628101	99.4865	0.7881
53.009464	99.4877	-0.7509
