* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A + B
* Format: Trace Arithmetic result A + B
* Dated: Feb 21, 2023 4:29:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A plus B A = Port Near Field B = Woofer Near Field
* Measurement: Port and Woofer Near Field
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20	93.7938	124.6981
20.144928	94.0011	123.6557
20.290907	94.2035	122.5812
20.437943	94.4005	121.4293
20.586044	94.5938	120.3287
20.73522	94.7813	119.2186
20.885475	94.9658	118.1263
21.036821	95.1438	117.0028
21.189262	95.3234	115.9624
21.342808	95.504	114.967
21.497467	95.684	113.9564
21.653246	95.8736	113.0359
21.810154	96.0703	112.1565
21.968201	96.2743	111.2345
22.12739	96.4911	110.3762
22.287735	96.7189	109.515
22.449242	96.9539	108.5607
22.611917	97.2018	107.6354
22.775772	97.4556	106.6585
22.940815	97.7136	105.5693
23.107054	97.9777	104.4886
23.274498	98.2438	103.3534
23.443153	98.5088	102.1115
23.613033	98.7788	100.8886
23.784142	99.051	99.6236
23.956491	99.3242	98.3215
24.130091	99.5962	96.9135
24.304947	99.8745	95.5168
24.481071	100.1529	94.066
24.65847	100.4279	92.4813
24.837156	100.7044	90.8903
25.017136	100.9749	89.2238
25.198421	101.2359	87.4187
25.38102	101.4894	85.6218
25.564941	101.732	83.7705
25.750195	101.96	81.8364
25.93679	102.1798	79.9514
26.124741	102.3916	78.0856
26.314051	102.5926	76.1692
26.504732	102.7965	74.3448
26.696796	103.0004	72.5342
26.890253	103.2044	70.6434
27.085112	103.4154	68.7872
27.281382	103.6305	66.8536
27.479073	103.8437	64.8233
27.678198	104.0477	62.5914
27.878765	104.241	60.3039
28.080786	104.4163	57.8796
28.284271	104.5583	55.3049
28.489231	104.6757	52.7303
28.695675	104.7602	50.1853
28.903616	104.8072	47.6226
29.113064	104.8319	45.2824
29.324028	104.8365	43.1184
29.536524	104.8235	41.1073
29.750557	104.8184	39.379
29.966141	104.8232	37.8606
30.183289	104.8462	36.3968
30.40201	104.8982	35.0918
30.622314	104.9773	33.7876
30.844217	105.0693	32.3437
31.067726	105.1824	30.8769
31.292856	105.2956	29.2863
31.519617	105.406	27.5922
31.74802	105.499	25.735
31.978081	105.5836	23.9264
32.209808	105.6551	22.1108
32.443211	105.7101	20.2546
32.67831	105.7628	18.5172
32.915108	105.8106	16.8261
33.153625	105.8496	15.0833
33.393871	105.8905	13.4334
33.635857	105.9265	11.7849
33.879597	105.9465	10.0542
34.125103	105.9597	8.4198
34.372387	105.9588	6.8182
34.621464	105.9358	5.2118
34.872345	105.9072	3.7891
35.125042	105.8697	2.4913
35.379574	105.8227	1.2479
35.635948	105.7863	0.205500000000001
35.89418	105.757	-0.7372
36.154285	105.7399	-1.62
36.416275	105.7259	-2.5707
36.680161	105.7278	-3.446
36.945961	105.7339	-4.3537
37.213688	105.7349	-5.3879
37.483353	105.7391	-6.3694
37.754974	105.7395	-7.3728
38.028561	105.7275	-8.4684
38.304131	105.717	-9.4657
38.581699	105.7026	-10.4422
38.861279	105.6796	-11.4817
39.142883	105.6654	-12.4094
39.426529	105.6533	-13.3208
39.712231	105.6373	-14.3146
40	105.6324	-15.2229
40.289856	105.6306	-16.1423
40.581814	105.6309	-17.0787
40.875885	105.6239	-18.1221
41.172089	105.6254	-19.0883
41.47044	105.6261	-20.0608
41.77095	105.6171	-21.1236
42.073643	105.6158	-22.0877
42.378525	105.6158	-23.0392
42.685616	105.6068	-24.0698
42.994934	105.6089	-24.9974
43.306492	105.6131	-25.9171
43.620308	105.6091	-26.926
43.936401	105.6156	-27.8414
44.25478	105.6222	-28.7575
44.57547	105.6192	-29.7677
44.898483	105.6259	-30.6826
45.223835	105.6319	-31.5937
45.551544	105.6269	-32.5941
45.88163	105.632	-33.4951
46.214108	105.6363	-34.3932
46.548996	105.6417	-35.2915
46.886307	105.6357	-36.2893
47.226067	105.6403	-37.1964
47.568283	105.6431	-38.1061
47.912983	105.6341	-39.1103
48.260181	105.6341	-40.0088
48.609894	105.6332	-40.8923
48.962143	105.6232	-41.8555
49.31694	105.6276	-42.7059
49.674313	105.6352	-43.547
50.034271	105.6352	-44.4849
50.396843	105.6498	-45.3313
50.762039	105.6688	-46.1877
51.129883	105.6758	-47.1526
51.500389	105.6969	-48.0249
51.873581	105.7172	-48.8978
52.249481	105.7262	-49.8653
52.628101	105.7477	-50.726
53.009464	105.7694	-51.5775
53.393593	105.7923	-52.4201
53.780506	105.8033	-53.3548
54.170223	105.8273	-54.1843
54.562763	105.8517	-55.0095
54.958145	105.8637	-55.9332
55.356396	105.8882	-56.7569
55.75753	105.9139	-57.5832
56.161572	105.9249	-58.514
56.568542	105.9478	-59.351
56.978462	105.971	-60.1927
57.39135	105.977	-61.1377
57.807232	105.9953	-61.9784
58.226128	106.0129	-62.8088
58.648056	106.0149	-63.7258
59.073048	106.0327	-64.5288
59.501114	106.0527	-65.3245
59.932281	106.0597	-66.2209
60.366577	106.082	-67.0209
60.80402	106.1044	-67.8236
61.244629	106.1271	-68.6239
61.688435	106.1331	-69.5176
62.135452	106.156	-70.3017
62.585712	106.1802	-71.08
63.039234	106.1882	-71.9594
63.49604	106.2145	-72.7461
63.956161	106.2401	-73.5483
64.419617	106.2481	-74.4712
64.886421	106.2679	-75.312
65.356621	106.2829	-76.1594
65.830215	106.2739	-77.0927
66.307251	106.2782	-77.8915
66.787743	106.2817	-78.6461
67.271713	106.2697	-79.4623
67.759193	106.2825	-80.1614
68.250206	106.3005	-80.8665
68.744774	106.3055	-81.6934
69.242928	106.3307	-82.4506
69.74469	106.3581	-83.2393
70.250084	106.3868	-84.0654
70.759148	106.3948	-85.0417
71.271896	106.4167	-85.9845
71.788361	106.4269	-86.9833
72.308571	106.4009	-88.0964
72.83255	106.3743	-89.0672
73.360321	106.3339	-89.937
73.891922	106.2669	-90.7771
74.427376	106.2208	-91.3991
74.966705	106.182	-91.9168
75.509949	106.133	-92.4472
76.057121	106.1193	-92.8285
76.608261	106.1239	-93.2038
77.163399	106.1219	-93.7175
77.722557	106.1508	-94.217
78.285767	106.1798	-94.8007
78.853058	106.1838	-95.5382
79.424461	106.2001	-96.2118
80	106.2096	-96.8818
80.579712	106.2125	-97.5221
81.163628	106.1915	-98.2062
81.75177	106.1935	-98.7499
82.344177	106.1997	-99.2561
82.94088	106.1907	-99.8372
83.541901	106.2112	-100.3387
84.147285	106.2369	-100.8685
84.75705	106.2429	-101.5228
85.371231	106.2719	-102.1303
85.989868	106.3011	-102.7822
86.612984	106.3021	-103.5648
87.240616	106.3185	-104.2934
87.872803	106.3251	-105.0215
88.50956	106.2981	-105.7881
89.15094	106.292	-106.4005
89.796967	106.2911	-106.9544
90.44767	106.2711	-107.5681
91.103088	106.2814	-108.1113
91.76326	106.2939	-108.6749
92.428215	106.3057	-109.2505
93.097992	106.2927	-109.9098
93.772614	106.3066	-110.5052
94.452133	106.3228	-111.1404
95.136566	106.3108	-111.9177
95.825966	106.3133	-112.685
96.520363	106.2948	-113.4651
97.219788	106.2298	-114.2286
97.924286	106.1787	-114.7356
98.633881	106.1376	-115.0449
99.348625	106.0956	-115.3032
100.068542	106.1119	-115.4922
100.793686	106.1533	-115.7951
101.524078	106.1793	-116.3472
102.259766	106.2249	-117.0223
103.000778	106.2497	-117.8369
103.747162	106.2167	-118.7507
104.498962	106.1827	-119.5159
105.256203	106.1348	-120.1233
106.018929	106.0861	-120.5674
106.787186	106.0201	-120.9583
107.561012	105.9976	-121.2412
108.340446	105.9864	-121.5302
109.125526	105.9534	-121.9069
109.91629	105.9502	-122.2493
110.712791	105.9442	-122.5881
111.51506	105.9092	-122.9474
112.323143	105.9074	-123.209
113.137085	105.9136	-123.4491
113.956924	105.9016	-123.7526
114.7827	105.9251	-124.0427
115.614464	105.9508	-124.3799
116.452255	105.9488	-124.806
117.296112	105.9746	-125.2159
118.146095	105.9985	-125.6666
119.002228	105.9905	-126.1774
119.864563	106.0075	-126.6704
120.733154	106.0177	-127.1561
121.60804	106.023	-127.6173
122.489258	105.997	-128.0833
123.376869	106.0043	-128.4829
124.270905	106.0158	-128.8863
125.171425	105.9988	-129.3427
126.078468	106.0105	-129.7707
126.992081	106.0222	-130.1937
127.912323	106.0052	-130.6466
128.839233	106.021	-131.0808
129.772842	106.0369	-131.5343
130.713242	106.0209	-132.0245
131.660431	106.0359	-132.4863
132.614502	106.0519	-132.955
133.575485	106.0399	-133.4722
134.543427	106.06	-134.008
135.518387	106.0763	-134.598
136.500412	106.0573	-135.2645
137.489548	106.0586	-135.9582
138.485855	106.0449	-136.6765
139.48938	106.0122	-137.3741
140.500168	105.9312	-137.9906
141.518295	105.8686	-138.4175
142.543793	105.8141	-138.6547
143.576721	105.7531	-138.8041
144.617142	105.7446	-138.9826
145.6651	105.7421	-139.2592
146.720642	105.7011	-139.5766
147.783844	105.6876	-139.8376
148.854752	105.6812	-140.0539
149.933411	105.6542	-140.298
151.019897	105.6587	-140.5967
152.114243	105.6572	-140.9059
153.216522	105.6222	-141.1596
154.326797	105.6268	-141.3536
155.445114	105.6493	-141.551
156.571533	105.6553	-141.8383
157.706116	105.6948	-142.2837
158.848923	105.7193	-142.8568
160	105.7218	-143.4574
161.159424	105.6758	-143.9651
162.327255	105.6602	-144.3672
163.50354	105.6566	-144.7168
164.688354	105.6366	-145.1078
165.88176	105.648	-145.6444
167.083801	105.6402	-146.2899
168.294571	105.5702	-146.8973
169.514099	105.5025	-147.3381
170.742462	105.4307	-147.511
171.979736	105.3487	-147.46
173.225967	105.3258	-147.3719
174.481232	105.3247	-147.3172
175.745605	105.3087	-147.2906
177.019119	105.3347	-147.3465
178.30188	105.3685	-147.4664
179.593933	105.3795	-147.6263
180.89534	105.4203	-147.886
182.206177	105.459	-148.2025
183.52652	105.4925	-148.5583
184.85643	105.4935	-148.907
186.195984	105.52	-149.3271
187.545227	105.5403	-149.785
188.904266	105.5213	-150.1869
190.273132	105.5275	-150.568
191.651932	105.5367	-150.8831
193.040726	105.5277	-151.1509
194.439575	105.5566	-151.522
195.848572	105.5844	-151.9958
197.267761	105.5724	-152.514
198.69725	105.5671	-153.0898
200.137085	105.5426	-153.5597
201.587372	105.4886	-153.8144
