* Measurement data measured by REW V5.20.13
* Source: /projects/speakers/epique and morel/port and woofer nearfield diffraction.txt
* Format: Comma/Tab/Space delimited data
* Dated: Feb 21, 2023 8:24:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /projects/speakers/epique and morel/port and woofer nearfield diffraction.txt Format: Comma/Tab/Space delimited data 957 values loaded, 20 Hz to 19,896 Hz log spaced
* Measurement: port and woofer nearfield
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	79.930	124.0154
20.144928	80.051	123.3856
20.290907	80.222	122.4660
20.437943	80.409	121.4157
20.586044	80.599	120.3252
20.735220	80.786	119.2265
20.885475	80.970	118.1325
21.036821	81.152	117.0523
21.189262	81.333	116.0051
21.342808	81.515	114.9931
21.497467	81.701	114.0128
21.653246	81.892	113.0715
21.810154	82.091	112.1587
21.968201	82.298	111.2582
22.127390	82.516	110.3676
22.287735	82.743	109.4683
22.449242	82.980	108.5406
22.611917	83.226	107.5841
22.775772	83.478	106.5841
22.940815	83.736	105.5303
23.107054	83.999	104.4314
23.274498	84.264	103.2830
23.443153	84.531	102.0833
23.613033	84.800	100.8470
23.784142	85.072	99.5718
23.956491	85.345	98.2501
24.130091	85.619	96.8748
24.304947	85.895	95.4527
24.481071	86.171	93.9728
24.658470	86.445	92.4229
24.837156	86.717	90.8100
25.017136	86.984	89.1278
25.198421	87.243	87.3744
25.381020	87.493	85.5705
25.564941	87.733	83.7233
25.750195	87.963	81.8445
25.936790	88.183	79.9609
26.124741	88.395	78.0816
26.314051	88.602	76.2081
26.504732	88.808	74.3520
26.696796	89.013	72.4981
26.890253	89.220	70.6223
27.085112	89.429	68.7136
27.281382	89.639	66.7399
27.479073	89.845	64.6682
27.678198	90.043	62.4768
27.878765	90.227	60.1750
28.080786	90.392	57.7669
28.284271	90.532	55.2746
28.489231	90.644	52.7496
28.695675	90.727	50.2396
28.903616	90.781	47.7925
29.113064	90.811	45.4754
29.324028	90.823	43.3233
29.536524	90.826	41.3550
29.750557	90.830	39.5843
29.966141	90.843	37.9841
30.183289	90.873	36.5037
30.402010	90.925	35.1014
30.622314	90.998	33.7107
30.844217	91.087	32.2732
31.067726	91.189	30.7676
31.292856	91.294	29.1728
31.519617	91.396	27.4842
31.748020	91.489	25.7179
31.978081	91.572	23.9199
32.209808	91.643	22.1137
32.443211	91.704	20.3180
32.678310	91.757	18.5591
32.915108	91.805	16.8329
33.153625	91.846	15.1257
33.393871	91.884	13.4423
33.635857	91.914	11.7698
33.879597	91.935	10.1027
34.125103	91.945	8.4667
34.372387	91.942	6.8751
34.621464	91.925	5.3470
34.872345	91.899	3.9207
35.125042	91.865	2.6061
35.379574	91.828	1.4021
35.635948	91.795	0.3156
35.894180	91.767	-0.6792
36.154285	91.748	-1.6223
36.416275	91.737	-2.5502
36.680161	91.733	-3.4730
36.945961	91.733	-4.4157
37.213688	91.735	-5.3938
37.483353	91.735	-6.3906
37.754974	91.732	-7.4050
38.028561	91.724	-8.4325
38.304131	91.713	-9.4460
38.581699	91.699	-10.4446
38.861279	91.683	-11.4316
39.142883	91.668	-12.3924
39.426529	91.654	-13.3394
39.712231	91.643	-14.2868
40.000000	91.636	-15.2249
40.289856	91.632	-16.1658
40.581814	91.629	-17.1248
40.875885	91.627	-18.1078
41.172089	91.625	-19.0947
41.470440	91.623	-20.0876
41.770950	91.619	-21.0883
42.073643	91.616	-22.0757
42.378525	91.614	-23.0540
42.685616	91.611	-24.0300
42.994934	91.611	-24.9887
43.306492	91.612	-25.9402
43.620308	91.613	-26.8955
43.936401	91.616	-27.8406
44.254780	91.619	-28.7850
44.575470	91.622	-29.7366
44.898483	91.625	-30.6781
45.223835	91.628	-31.6162
45.551544	91.630	-32.5573
45.881630	91.633	-33.4834
46.214108	91.636	-34.4016
46.548996	91.638	-35.3261
46.886307	91.638	-36.2641
47.226067	91.639	-37.1975
47.568283	91.639	-38.1316
47.912983	91.636	-39.0709
48.260181	91.634	-39.9937
48.609894	91.632	-40.9046
48.962143	91.630	-41.8106
49.316940	91.631	-42.6963
49.674313	91.636	-43.5745
50.034271	91.642	-44.4595
50.396843	91.653	-45.3394
50.762039	91.667	-46.2259
51.129883	91.681	-47.1275
51.500389	91.697	-48.0248
51.873581	91.714	-48.9224
52.249481	91.731	-49.8239
52.628101	91.749	-50.7072
53.009464	91.769	-51.5769
53.393593	91.789	-52.4451
53.780506	91.808	-53.3187
54.170223	91.828	-54.1797
54.562763	91.848	-55.0375
54.958145	91.868	-55.9024
55.356396	91.888	-56.7589
55.757530	91.909	-57.6175
56.161572	91.928	-58.4883
56.568542	91.947	-59.3546
56.978462	91.965	-60.2238
57.391350	91.980	-61.1021
57.807232	91.994	-61.9679
58.226128	92.008	-62.8259
58.648056	92.020	-63.6823
59.073048	92.034	-64.5204
59.501114	92.050	-65.3517
59.932281	92.066	-66.1879
60.366577	92.084	-67.0119
60.804020	92.103	-67.8295
61.244629	92.122	-68.6509
61.688435	92.139	-69.4801
62.135452	92.157	-70.2970
62.585712	92.176	-71.1115
63.039234	92.194	-71.9367
63.496040	92.214	-72.7604
63.956161	92.233	-73.5962
64.419617	92.249	-74.4544
64.886421	92.263	-75.3139
65.356621	92.272	-76.1739
65.830215	92.275	-77.0294
66.307251	92.277	-77.8510
66.787743	92.279	-78.6415
67.271713	92.281	-79.4141
67.759193	92.288	-80.1639
68.250206	92.300	-80.9153
68.744774	92.315	-81.6897
69.242928	92.334	-82.4776
69.744690	92.357	-83.2921
70.250084	92.378	-84.1525
70.759148	92.394	-85.0711
71.271896	92.404	-86.0288
71.788361	92.404	-87.0190
72.308571	92.389	-88.0188
72.832550	92.361	-88.9698
73.360321	92.321	-89.8422
73.891922	92.274	-90.6217
74.427376	92.228	-91.2876
74.966705	92.187	-91.8591
75.509949	92.155	-92.3659
76.057121	92.136	-92.8216
76.608261	92.132	-93.2714
77.163399	92.138	-93.7592
77.722557	92.153	-94.2934
78.285767	92.170	-94.8876
78.853058	92.184	-95.5374
79.424461	92.195	-96.2024
80.000000	92.202	-96.8629
80.579712	92.203	-97.5091
81.163628	92.199	-98.1330
81.751770	92.198	-98.7143
82.344177	92.199	-99.2680
