* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A + B
* Format: Trace Arithmetic result A + B
* Dated: Feb 21, 2023 4:29:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A plus B A = Port Near Field B = Woofer Near Field
* Measurement: Port and Woofer Near Field
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.704	119.4727
20.144928	99.909	118.3771
20.290907	100.109	117.2490
20.437943	100.306	116.0971
20.586044	100.497	114.9423
20.735220	100.682	113.7774
20.885475	100.864	112.6299
21.036821	101.042	111.5064
21.189262	101.219	110.4103
21.342808	101.397	109.3588
21.497467	101.577	108.3482
21.653246	101.764	107.3709
21.810154	101.958	106.4342
21.968201	102.162	105.5122
22.127390	102.376	104.5962
22.287735	102.601	103.6766
22.449242	102.836	102.7223
22.611917	103.081	101.7382
22.775772	103.332	100.7020
22.940815	103.590	99.6128
23.107054	103.851	98.4722
23.274498	104.114	97.2766
23.443153	104.379	96.0347
23.613033	104.646	94.7508
23.784142	104.915	93.4243
23.956491	105.185	92.0602
24.130091	105.457	90.6522
24.304947	105.732	89.1929
24.481071	106.007	87.6790
24.658470	106.282	86.0943
24.837156	106.555	84.4397
25.017136	106.822	82.7089
25.198421	107.083	80.9038
25.381020	107.333	79.0421
25.564941	107.572	77.1255
25.750195	107.800	75.1914
25.936790	108.016	73.2405
26.124741	108.224	71.3083
26.314051	108.425	69.3919
26.504732	108.625	67.5005
26.696796	108.825	65.6223
26.890253	109.029	63.7315
27.085112	109.236	61.8072
27.281382	109.447	59.8050
27.479073	109.656	57.7054
27.678198	109.860	55.4735
27.878765	110.049	53.1162
28.080786	110.220	50.6215
28.284271	110.362	48.0468
28.489231	110.475	45.4012
28.695675	110.555	42.7846
28.903616	110.602	40.2219
29.113064	110.622	37.8097
29.324028	110.622	35.5730
29.536524	110.609	33.5619
29.750557	110.599	31.7603
29.966141	110.599	30.1681
30.183289	110.622	28.7043
30.402010	110.669	27.3249
30.622314	110.743	25.9457
30.844217	110.835	24.5018
31.067726	110.943	22.9595
31.292856	111.051	21.2928
31.519617	111.156	19.5220
31.748020	111.249	17.6648
31.978081	111.328	15.7789
32.209808	111.394	13.8855
32.443211	111.449	12.0293
32.678310	111.496	10.2135
32.915108	111.538	8.4434
33.153625	111.577	6.7006
33.393871	111.612	4.9712
33.635857	111.642	3.2426
33.879597	111.662	1.5119
34.125103	111.669	-0.2032
34.372387	111.662	-1.8860
34.621464	111.639	-3.4924
34.872345	111.604	-4.9969
35.125042	111.560	-6.3770
35.379574	111.513	-7.6204
35.635948	111.470	-8.7457
35.894180	111.434	-9.7720
36.154285	111.410	-10.7387
36.416275	111.396	-11.6894
36.680161	111.391	-12.6493
36.945961	111.390	-13.6421
37.213688	111.391	-14.6763
37.483353	111.388	-15.7434
37.754974	111.381	-16.8330
38.028561	111.369	-17.9286
38.304131	111.351	-19.0126
38.581699	111.329	-20.0764
38.861279	111.306	-21.1159
39.142883	111.284	-22.1313
39.426529	111.264	-23.1310
39.712231	111.248	-24.1248
40.000000	111.235	-25.1218
40.289856	111.225	-26.1306
40.581814	111.217	-27.1567
40.875885	111.210	-28.2001
41.172089	111.203	-29.2566
41.470440	111.195	-30.3199
41.770950	111.186	-31.3827
42.073643	111.176	-32.4380
42.378525	111.167	-33.4812
42.685616	111.158	-34.5118
42.994934	111.151	-35.5316
43.306492	111.146	-36.5440
43.620308	111.142	-37.5529
43.936401	111.139	-38.5614
44.254780	111.136	-39.5710
44.575470	111.133	-40.5812
44.898483	111.130	-41.5901
45.223835	111.126	-42.5955
45.551544	111.121	-43.5959
45.881630	111.116	-44.5918
46.214108	111.110	-45.5850
46.548996	111.105	-46.5789
46.886307	111.099	-47.5767
47.226067	111.093	-48.5797
47.568283	111.085	-49.5858
47.912983	111.076	-50.5900
48.260181	111.065	-51.5852
48.609894	111.053	-52.5657
48.962143	111.043	-53.5289
49.316940	111.036	-54.4767
49.674313	111.032	-55.4155
50.034271	111.032	-56.3534
50.396843	111.035	-57.2977
50.762039	111.042	-58.2524
51.129883	111.049	-59.2173
51.500389	111.058	-60.1883
51.873581	111.066	-61.1600
52.249481	111.075	-62.1275
52.628101	111.084	-63.0873
53.009464	111.093	-64.0381
53.393593	111.103	-64.9802
53.780506	111.114	-65.9149
54.170223	111.125	-66.8441
54.562763	111.136	-67.7695
54.958145	111.148	-68.6932
55.356396	111.159	-69.6169
55.757530	111.171	-70.5432
56.161572	111.182	-71.4740
56.568542	111.191	-72.4110
56.978462	111.200	-73.3536
57.391350	111.206	-74.2986
57.807232	111.210	-75.2399
58.226128	111.213	-76.1709
58.648056	111.215	-77.0879
59.073048	111.218	-77.9916
59.501114	111.223	-78.8881
59.932281	111.230	-79.7845
60.366577	111.237	-80.6852
60.804020	111.244	-81.5886
61.244629	111.251	-82.4897
61.688435	111.257	-83.3834
62.135452	111.264	-84.2681
62.585712	111.272	-85.1470
63.039234	111.280	-86.0264
63.496040	111.290	-86.9136
63.956161	111.299	-87.8162
64.419617	111.307	-88.7391
64.886421	111.310	-89.6801
65.356621	111.308	-90.6276
65.830215	111.299	-91.5609
66.307251	111.286	-92.4596
66.787743	111.272	-93.3139
67.271713	111.260	-94.1301
67.759193	111.255	-94.9286
68.250206	111.255	-95.7328
68.744774	111.260	-96.5597
69.242928	111.267	-97.4158
69.744690	111.276	-98.3031
70.250084	111.286	-99.2274
70.759148	111.294	-100.2037
71.271896	111.297	-101.2443
71.788361	111.288	-102.3405
72.308571	111.262	-103.4536
72.832550	111.216	-104.5214
73.360321	111.156	-105.4878
73.891922	111.089	-106.3279
74.427376	111.023	-107.0460
74.966705	110.964	-107.6592
75.509949	110.915	-108.1896
76.057121	110.881	-108.6659
76.608261	110.865	-109.1357
77.163399	110.863	-109.6494
77.722557	110.871	-110.2427
78.285767	110.879	-110.9196
78.853058	110.883	-111.6571
79.424461	110.878	-112.4233
80.000000	110.866	-113.1851
80.579712	110.847	-113.9166
81.163628	110.826	-114.6007
81.751770	110.806	-115.2347
82.344177	110.790	-115.8306
82.940880	110.781	-116.4117
83.541901	110.779	-117.0020
84.147285	110.782	-117.6197
84.757050	110.788	-118.2740
85.371231	110.794	-118.9686
85.989868	110.800	-119.7067
86.612984	110.801	-120.4893
87.240616	110.794	-121.3032
87.872803	110.777	-122.1155
88.509560	110.750	-122.8821
89.150940	110.720	-123.5778
89.796967	110.695	-124.2140
90.447670	110.675	-124.8277
91.103088	110.661	-125.4521
91.763260	110.649	-126.0958
92.428215	110.636	-126.7504
93.097992	110.623	-127.4097
93.772614	110.612	-128.0830
94.452133	110.603	-128.7948
95.136566	110.591	-129.5721
95.825966	110.568	-130.4150
96.520363	110.524	-131.2693
97.219788	110.459	-132.0328
97.924286	110.382	-132.6128
98.633881	110.315	-132.9937
99.348625	110.273	-133.2520
100.068542	110.263	-133.5114
100.793686	110.278	-133.8833
101.524078	110.304	-134.4354
102.259766	110.323	-135.1781
103.000778	110.321	-136.0589
103.747162	110.288	-136.9727
104.498962	110.227	-137.8026
105.256203	110.152	-138.4733
106.018929	110.076	-138.9792
106.787186	110.010	-139.3701
107.561012	109.960	-139.7132
108.340446	109.921	-140.0610
109.125526	109.888	-140.4377
109.916290	109.857	-140.8372
110.712791	109.823	-141.2315
111.515060	109.788	-141.5908
112.323143	109.758	-141.9064
113.137085	109.736	-142.1988
113.956924	109.724	-142.5023
114.782700	109.719	-142.8430
115.614464	109.716	-143.2291
116.452255	109.714	-143.6552
117.296112	109.711	-144.1124
118.146095	109.706	-144.5966
119.002228	109.698	-145.1074
119.864563	109.686	-145.6404
120.733154	109.667	-146.1761
121.608040	109.643	-146.6850
122.489258	109.617	-147.1510
123.376869	109.595	-147.5890
124.270905	109.577	-148.0288
125.171425	109.560	-148.4852
126.078468	109.542	-148.9479
126.992081	109.524	-149.4037
127.912323	109.507	-149.8566
128.839233	109.493	-150.3217
129.772842	109.479	-150.8043
130.713242	109.463	-151.2945
131.660431	109.448	-151.7833
132.614502	109.434	-152.2772
133.575485	109.422	-152.7944
134.543427	109.412	-153.3535
135.518387	109.398	-153.9648
136.500412	109.379	-154.6313
137.489548	109.350	-155.3444
138.485855	109.306	-156.0800
139.489380	109.243	-156.7930
140.500168	109.162	-157.4095
141.518295	109.069	-157.8499
142.543793	108.984	-158.0985
143.576721	108.923	-158.2479
144.617142	108.884	-158.4359
145.665100	108.851	-158.7200
146.720642	108.810	-159.0374
147.783844	108.766	-159.3039
148.854752	108.729	-159.5236
149.933411	108.702	-159.7677
151.019897	108.676	-160.0679
152.114243	108.644	-160.3765
153.216522	108.609	-160.6302
154.326797	108.583	-160.8217
155.445114	108.575	-161.0145
156.571533	108.581	-161.3018
157.706116	108.590	-161.7407
158.848923	108.584	-162.3052
160.000000	108.556	-162.8953
161.159424	108.510	-163.4030
162.327255	108.464	-163.7926
163.503540	108.430	-164.1277
164.688354	108.410	-164.5187
165.881760	108.391	-165.0388
167.083801	108.353	-165.6658
168.294571	108.283	-166.2732
169.514099	108.185	-166.6936
170.742462	108.083	-166.8442
171.979736	108.001	-166.7932
173.225967	107.948	-166.6807
174.481232	107.917	-166.5998
175.745605	107.901	-166.5732
177.019119	107.897	-166.6010
178.301880	107.901	-166.6909
179.593933	107.912	-166.8508
180.895340	107.923	-167.0784
182.206177	107.932	-167.3612
183.526520	107.936	-167.6813
184.856430	107.937	-168.0300
186.195984	107.934	-168.4126
187.545227	107.925	-168.8250
188.904266	107.906	-169.2269
190.273132	107.883	-169.5680
191.651932	107.863	-169.8453
193.040726	107.854	-170.1131
194.439575	107.854	-170.4395
195.848572	107.853	-170.8669
197.267761	107.841	-171.3851
198.697250	107.807	-171.9127
200.137085	107.754	-172.3328
201.587372	107.700	-172.5875
203.048157	107.661	-172.7318
204.519531	107.638	-172.8679
206.001556	107.624	-173.0460
207.494324	107.613	-173.2600
208.997925	107.604	-173.5049
210.512405	107.595	-173.7898
212.037857	107.582	-174.1124
213.574371	107.561	-174.4431
215.122025	107.532	-174.7325
216.680893	107.502	-174.9474
218.251053	107.480	-175.1021
219.832581	107.470	-175.2530
221.425583	107.468	-175.4496
223.030121	107.466	-175.6988
224.646286	107.463	-175.9822
226.274170	107.454	-176.2852
227.913849	107.440	-176.5822
229.565399	107.423	-176.8334
231.228928	107.410	-177.0323
232.904510	107.410	-177.2354
234.592224	107.419	-177.5182
236.292191	107.425	-177.9139
238.004456	107.413	-178.3795
239.729126	107.377	-178.8005
241.466309	107.328	-179.0592
243.216080	107.288	-179.1161
244.978516	107.280	-179.0457
246.753738	107.314	-179.0166
248.541809	107.381	-179.2115
250.342850	107.455	-179.7375
252.156937	107.507	179.4102
253.984161	107.517	178.3291
255.824646	107.470	177.1788
257.678467	107.370	176.1389
259.545685	107.232	175.3365
261.426483	107.078	174.7827
263.320862	106.917	174.3906
265.229004	106.741	174.0882
267.150970	106.523	173.9833
269.086853	106.255	174.4022
271.036774	105.977	175.6469
273.000824	105.769	177.7311
274.979095	105.711	-179.6225
276.971710	105.846	-176.9013
278.978760	106.156	-174.7307
281.000336	106.547	-173.6270
283.036591	106.912	-173.6725
285.087585	107.188	-174.5051
287.153442	107.374	-175.6553
289.234283	107.491	-176.8403
291.330200	107.557	-177.9611
293.441284	107.577	-178.9310
295.567688	107.568	-179.6290
297.709503	107.566	179.9622
299.866821	107.596	179.6719
302.039795	107.658	179.2538
304.228485	107.721	178.5509
306.433044	107.747	177.5925
308.653595	107.712	176.5928
310.890228	107.623	175.8138
313.143066	107.507	175.3876
315.412231	107.393	175.3012
317.697845	107.297	175.4891
320.000000	107.233	175.8746
322.318848	107.210	176.3442
324.654510	107.226	176.7324
327.007080	107.257	176.9190
329.376709	107.273	176.9711
331.763519	107.268	177.0997
334.167603	107.271	177.4203
336.589142	107.310	177.8101
339.028198	107.384	178.0358
341.484924	107.460	177.9751
343.959473	107.504	177.7269
346.451935	107.510	177.5446
348.962463	107.507	177.6210
351.491211	107.536	177.8868
354.038239	107.607	178.0587
356.603760	107.690	177.9271
359.187866	107.743	177.5542
361.790680	107.756	177.1632
364.412354	107.747	176.8989
367.053040	107.734	176.7524
369.712860	107.722	176.6567
372.391968	107.705	176.5934
375.090454	107.679	176.6279
377.808533	107.660	176.8182
380.546265	107.666	177.0852
383.303864	107.695	177.2570
386.081451	107.725	177.2462
388.879150	107.735	177.1136
391.697144	107.714	176.9991
394.535522	107.670	177.0394
397.394501	107.623	177.3165
400.274170	107.600	177.8217
403.174744	107.624	178.4033
406.096313	107.692	178.7902
409.039062	107.765	178.8140
412.003113	107.801	178.5787
414.988647	107.791	178.3225
417.995850	107.747	178.2254
421.024811	107.694	178.3525
424.075714	107.651	178.6576
427.148743	107.626	179.0446
430.244049	107.618	179.4424
433.361786	107.621	179.8126
436.502106	107.631	-179.8549
439.665161	107.649	-179.5592
442.851166	107.678	-179.3790
446.060242	107.698	-179.4380
449.292572	107.666	-179.6450
452.548340	107.563	-179.5729
455.827698	107.442	-178.8170
459.130798	107.403	-177.5112
462.457855	107.487	-176.3129
465.809021	107.629	-175.8047
469.184448	107.727	-175.9884
472.584381	107.731	-176.3680
476.008911	107.667	-176.4238
479.458252	107.598	-175.9845
482.932617	107.582	-175.2847
486.432159	107.619	-174.7049
489.957031	107.673	-174.4236
493.507477	107.715	-174.3975
497.083618	107.730	-174.5449
500.685699	107.708	-174.7689
504.313873	107.641	-174.8997
507.968323	107.543	-174.7274
511.649292	107.455	-174.1695
515.356934	107.418	-173.4286
519.091370	107.426	-172.8069
522.852966	107.451	-172.3809
526.641724	107.486	-172.0949
530.458008	107.531	-172.0234
534.301941	107.561	-172.2566
538.173706	107.543	-172.6520
542.073547	107.477	-172.9077
546.001648	107.406	-172.8950
549.958191	107.365	-172.8219
553.943420	107.339	-172.9635
557.957520	107.290	-173.3373
562.000671	107.194	-173.7427
566.073181	107.059	-173.9474
570.175171	106.916	-173.8168
574.306885	106.812	-173.4537
578.468567	106.767	-173.2169
582.660400	106.741	-173.4529
586.882568	106.660	-174.1240
591.135376	106.479	-174.7744
595.419006	106.221	-174.9030
599.733643	105.953	-174.3341
604.079590	105.743	-173.2917
608.456970	105.614	-172.1773
612.866089	105.536	-171.2477
617.307190	105.470	-170.4844
621.780457	105.403	-169.7280
626.286133	105.344	-168.8541
630.824463	105.314	-167.7908
635.395691	105.347	-166.5158
640.000000	105.492	-165.1912
644.637695	105.765	-164.2926
649.309021	106.101	-164.4227
654.014160	106.376	-165.7565
658.753418	106.512	-167.7809
663.527039	106.524	-169.7772
668.335205	106.474	-171.3914
673.178284	106.414	-172.6411
678.056396	106.375	-173.6482
682.969849	106.380	-174.6064
687.918945	106.429	-175.8590
692.903870	106.462	-177.6614
697.924927	106.399	-179.7788
702.982422	106.212	178.5164
708.076477	105.986	177.8058
713.207520	105.858	177.8868
718.375732	105.886	177.9097
723.581360	105.991	177.1807
728.824707	106.051	175.7849
734.106079	106.028	174.3910
739.425720	105.985	173.4780
744.783936	106.008	172.8273
750.180908	106.091	171.8708
755.617065	106.145	170.4521
761.092529	106.108	169.1061
766.607727	106.033	168.4795
772.162903	106.044	168.5094
777.758301	106.190	168.4748
783.394287	106.402	167.7954
789.071045	106.596	166.4569
794.789001	106.726	164.7661
800.548340	106.789	163.1055
806.349487	106.821	161.7407
812.192627	106.865	160.5990
818.078125	106.923	159.4492
824.006226	106.976	158.2067
829.977295	107.006	156.8879
835.991699	107.002	155.5750
842.049622	106.962	154.4373
848.151428	106.912	153.5640
854.297485	106.871	152.8538
860.488098	106.831	152.1860
866.723572	106.783	151.5952
873.004211	106.734	151.1201
879.330322	106.694	150.6579
885.702332	106.639	150.1422
892.120483	106.547	149.7855
898.585144	106.459	149.8533
905.096680	106.457	150.0796
911.655396	106.540	149.6646
918.261597	106.579	148.1166
924.915710	106.420	146.0212
931.618042	106.025	144.7174
938.368896	105.518	145.0340
945.168762	105.094	146.4203
952.017822	104.797	147.7437
958.916504	104.491	148.8917
