* Measurement data measured by REW V5.20.13
* Source: U18dB [plughw:2,0], no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Feb 21, 2023 1:23:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Woofer Far Field
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	81.344	-53.6576
20.144928	81.355	-53.9285
20.290907	81.367	-54.1999
20.437943	81.380	-54.4718
20.586044	81.393	-54.7441
20.735220	81.407	-55.0168
20.885475	81.422	-55.2900
21.036821	81.438	-55.5636
21.189262	81.454	-55.8376
21.342808	81.470	-56.1120
21.497467	81.488	-56.3868
21.653246	81.506	-56.6620
21.810154	81.525	-56.9376
21.968201	81.544	-57.2135
22.127390	81.564	-57.4899
22.287735	81.585	-57.7666
22.449242	81.606	-58.0436
22.611917	81.628	-58.3210
22.775772	81.650	-58.5988
22.940815	81.673	-58.8769
23.107054	81.697	-59.1553
23.274498	81.721	-59.4340
23.443153	81.745	-59.7131
23.613033	81.771	-59.9925
23.784142	81.796	-60.2721
23.956491	81.823	-60.5521
24.130091	81.850	-60.8324
24.304947	81.877	-61.1129
24.481071	81.905	-61.3937
24.658470	81.934	-61.6748
24.837156	81.963	-61.9562
25.017136	81.992	-62.2378
25.198421	82.022	-62.5197
25.381020	82.053	-62.8018
25.564941	82.084	-63.0842
25.750195	82.115	-63.3668
25.936790	82.147	-63.6496
26.124741	82.179	-63.9327
26.314051	82.212	-64.2160
26.504732	82.245	-64.4995
26.696796	82.279	-64.7832
26.890253	82.313	-65.0672
27.085112	82.347	-65.3513
27.281382	82.382	-65.6357
27.479073	82.418	-65.9202
27.678198	82.453	-66.2049
27.878765	82.490	-66.4898
28.080786	82.526	-66.7749
28.284271	82.563	-67.0602
28.489231	82.600	-67.3456
28.695675	82.638	-67.6312
28.903616	82.676	-67.9170
29.113064	82.714	-68.2030
29.324028	82.753	-68.4891
29.536524	82.792	-68.7753
29.750557	82.831	-69.0618
29.966141	82.870	-69.3483
30.183289	82.910	-69.6351
30.402010	82.950	-69.9220
30.622314	82.991	-70.2090
30.844217	83.032	-70.4962
31.067726	83.073	-70.7835
31.292856	83.114	-71.0709
31.519617	83.155	-71.3585
31.748020	83.197	-71.6462
31.978081	83.239	-71.9340
32.209808	83.281	-72.2220
32.443211	83.324	-72.5101
32.678310	83.366	-72.7983
32.915108	83.409	-73.0867
33.153625	83.452	-73.3752
33.393871	83.496	-73.6638
33.635857	83.539	-73.9526
33.879597	83.583	-74.2415
34.125103	83.627	-74.5305
34.372387	83.670	-74.8196
34.621464	83.715	-75.1088
34.872345	83.759	-75.3982
35.125042	83.803	-75.6877
35.379574	83.847	-75.9773
35.635948	83.892	-76.2671
35.894180	83.937	-76.5570
36.154285	83.981	-76.8470
36.416275	84.026	-77.1371
36.680161	84.072	-77.4274
36.945961	84.117	-77.7178
37.213688	84.163	-78.0084
37.483353	84.208	-78.2991
